azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.335945790849849
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.31178796766033706
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.28647425189413045
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.2608194182066831
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.23565722168890577
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.21181641252300684
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.19009727263259726
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.17124946870818664
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.1559519881980533
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.14479587222630969
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.1382703805403099
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.1367531159452772
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.14050449443340562
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.1496667636357914
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.16426753133923824
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.18422744308479722
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.2093712049103822
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.2394405270344313
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.2741066877141941
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.3129791876227297
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.35560530056857087
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.40145324997837556
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.4498696261065077
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.5000007723896167
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.5506713811561578
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.6002278314207664
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.646388241533016
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.6862002957811343
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0.7162661728323776
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0.733363495580903
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0.7353635576832183
157.5, 2.5, 0.001210496427050808, 0.382319203, -0.923000204, 0.043619387, 0.7220020068009807
162.5, 2.5, 0.001210496427050808, 0.300419594, -0.952809224, 0.043619387, 0.6949832972908022
167.5, 2.5, 0.001210496427050808, 0.216233611, -0.97536679, 0.043619387, 0.6573409830281326
172.5, 2.5, 0.001210496427050808, 0.13040196, -0.990501226, 0.043619387, 0.6125034297509268
177.5, 2.5, 0.001210496427050808, 0.043577871, -0.998097349, 0.043619387, 0.5635732586719039
182.5, 2.5, 0.001210496427050808, -0.043577871, -0.998097349, 0.043619387, 0.5130079706667491
187.5, 2.5, 0.001210496427050808, -0.13040196, -0.990501226, 0.043619387, 0.46261009440368517
192.5, 2.5, 0.001210496427050808, -0.216233611, -0.97536679, 0.043619387, 0.41366188798158404
197.5, 2.5, 0.001210496427050808, -0.300419594, -0.952809224, 0.043619387, 0.36708624398742257
202.5, 2.5, 0.001210496427050808, -0.382319203, -0.923000204, 0.043619387, 0.3235788067305538
207.5, 2.5, 0.001210496427050808, -0.461309131, -0.886166595, 0.043619387, 0.28369723800586394
212.5, 2.5, 0.001210496427050808, -0.536788218, -0.842588724, 0.043619387, 0.24791209298068156
217.5, 2.5, 0.001210496427050808, -0.608182023, -0.792598244, 0.043619387, 0.21662928578284327
222.5, 2.5, 0.001210496427050808, -0.674947195, -0.736575612, 0.043619387, 0.19019395771716155
227.5, 2.5, 0.001210496427050808, -0.736575612, -0.674947195, 0.043619387, 0.16888358663957523
232.5, 2.5, 0.001210496427050808, -0.792598244, -0.608182023, 0.043619387, 0.15289603115998399
237.5, 2.5, 0.001210496427050808, -0.842588724, -0.536788218, 0.043619387, 0.14233642280407482
242.5, 2.5, 0.001210496427050808, -0.886166595, -0.461309131, 0.043619387, 0.1372054846699143
247.5, 2.5, 0.001210496427050808, -0.923000204, -0.382319203, 0.043619387, 0.13739089762374582
252.5, 2.5, 0.001210496427050808, -0.952809224, -0.300419594, 0.043619387, 0.14266265745636433
257.5, 2.5, 0.001210496427050808, -0.97536679, -0.216233611, 0.043619387, 0.15267288426139303
262.5, 2.5, 0.001210496427050808, -0.990501226, -0.13040196, 0.043619387, 0.16696019604532575
267.5, 2.5, 0.001210496427050808, -0.998097349, -0.043577871, 0.043619387, 0.1849584995038394
272.5, 2.5, 0.001210496427050808, -0.998097349, 0.043577871, 0.043619387, 0.20600985435952912
277.5, 2.5, 0.001210496427050808, -0.990501226, 0.13040196, 0.043619387, 0.22938091657819282
282.5, 2.5, 0.001210496427050808, -0.97536679, 0.216233611, 0.043619387, 0.2542823500954312
287.5, 2.5, 0.001210496427050808, -0.952809224, 0.300419594, 0.043619387, 0.27989051075080623
292.5, 2.5, 0.001210496427050808, -0.923000204, 0.382319203, 0.043619387, 0.30537064693147764
297.5, 2.5, 0.001210496427050808, -0.886166595, 0.461309131, 0.043619387, 0.3299008273626072
302.5, 2.5, 0.001210496427050808, -0.842588724, 0.536788218, 0.043619387, 0.35269579652049954
307.5, 2.5, 0.001210496427050808, -0.792598244, 0.608182023, 0.043619387, 0.3730299713361165
312.5, 2.5, 0.001210496427050808, -0.736575612, 0.674947195, 0.043619387, 0.39025882815824353
317.5, 2.5, 0.001210496427050808, -0.674947195, 0.736575612, 0.043619387, 0.40383798548303096
322.5, 2.5, 0.001210496427050808, -0.608182023, 0.792598244, 0.043619387, 0.4133393656210042
327.5, 2.5, 0.001210496427050808, -0.536788218, 0.842588724, 0.043619387, 0.4184639178614662
